logFC	AveExpr	t	P.Value	adj.P.Val	B
CTSK	0.962846906302084	5.55923258466797	4.93601756416167	2.29157076592088e-05	0.00181092581028408	2.66145269165081
DOK5	0.933939090677081	5.98453543115234	4.93551026085968	2.29497632043908e-05	0.00181092581028408	2.66005532237296
TSPAN5	0.535560794374998	6.07622248007813	4.92289547531288	2.38129784124452e-05	0.00186195843023128	2.62531243391051
CDO1	0.823630744322914	4.29589896025391	4.9004228971651	2.54314927355989e-05	0.00195300240195434	2.56344231233436
LRP4	0.794836345833332	3.96678935703125	4.88009036957074	2.69898748316282e-05	0.00198363992929118	2.50748995780221
SLC7A8	0.504707522083332	5.01495833984375	4.8780253651528	2.71533603461432e-05	0.00198363992929118	2.50180876918817
KCNK2	1.17108244473958	4.34922000400391	4.87725978633673	2.72142206320613e-05	0.00198363992929118	2.49970259565607
ALDH1A3	1.41941042671875	5.35927313466797	4.84152410018887	3.02110842886245e-05	0.00211256533306064	2.40143257362664
GAS1	1.07409871973958	5.88170703525391	4.8366516594925	3.06443208869378e-05	0.00212557906410122	2.38804033333514
PBX1	0.594411880781251	5.27193995439453	4.83361178028205	3.09177339695344e-05	0.00212738743897573	2.37968583475386
CYFIP2	-0.893543481302085	4.89972182939453	-4.81352270497627	3.27864999274378e-05	0.00222044634547947	2.32449117107339
GPR125	0.57330120078125	4.38403320205078	4.8059228963019	3.35223403019386e-05	0.00225254413232011	2.30361817816105
PTN	0.919008895156249	5.28157846337891	4.79700001372739	3.44072339816702e-05	0.00225729795131935	2.279116689493
NR1D2	0.765777178802082	5.27045778232422	4.79096525111262	3.5018814153644e-05	0.00225729795131935	2.26254905763318
ANK2	0.558300627499998	4.04151336171875	4.78846095251675	3.52757636781705e-05	0.00225729795131935	2.25567463698462
SMTN	-0.572269311770836	5.98785233925781	-4.77866603358152	3.62988530227249e-05	0.00226236546991635	2.22879164403492
SNED1	1.16576831109375	4.26087711943359	4.76729782584846	3.75232423746327e-05	0.0023218518536994	2.19759981085367
METTL7A	0.921893009166666	5.1329008421875	4.74419913334039	4.01386595416731e-05	0.00244845823204206	2.13425336127073
CAPG	0.69327328953125	5.59473875361328	4.72253273748303	4.27559277851729e-05	0.00253111054222905	2.07487420691172
INHBA	-0.634060646250001	4.5620175515625	-4.72007957102092	4.30627304851495e-05	0.00253111054222905	2.06815349867194
CEMIP	0.798063941197915	7.23007218017578	4.70118981298287	4.54994278752908e-05	0.00260893719436917	2.01642023166501
PADI2	-1.30317240578125	4.92412009091797	-4.68845457579663	4.72188579522473e-05	0.00268959865726675	1.98155984507827
MAPK10	0.665809987291667	4.57930107148437	4.67242550563703	4.94747902826751e-05	0.00278125928902803	1.937703794771
EGR3	0.740113085416664	4.10967488203125	4.63121303164409	5.57770989636171e-05	0.00309508921410368	1.82505460324584
ITGA6	-0.611473053229169	5.14777316542969	-4.61450156003237	5.85535980261403e-05	0.0032113750706215	1.77942255112745
HR	0.703422505625	4.26465086679687	4.60975886039361	5.93661941900731e-05	0.0032113750706215	1.76647728475072
IL1R1	0.704559726874998	5.42525029023438	4.59470256346187	6.20205652335609e-05	0.00329283260230776	1.72539602377726
FGFR2	0.711386389635414	4.18381344951172	4.59149660313905	6.26007540150173e-05	0.0033032459219826	1.71665153102376
SERPINF1	0.512653256510416	5.61455441162109	4.58903492402033	6.30498910293443e-05	0.00330665922404506	1.70993784295449
HNRNPA1	0.545803932760418	5.99820468115234	4.58637858517668	6.35381210477809e-05	0.00331206896443614	1.70269397062922
MEST	0.635589696614582	6.73788324033203	4.58325661837229	6.41167160368006e-05	0.00331318867315085	1.69418126680521
RGS7	-0.702364853541667	5.18013562929687	-4.49745196162832	8.22279533330646e-05	0.00398105379497793	1.46063319890505
CXCL1	1.40699240083333	4.39844593984375	4.48987563069979	8.40513893559314e-05	0.00398105379497793	1.44005189240968
CDKN1C	0.872279138489584	5.08145160009766	4.47710751105081	8.72151589121901e-05	0.00409911246887294	1.40538250425569
GPR116	-2.36402813375	5.1480583296875	-4.45212351660351	9.37498802048073e-05	0.00427422489122902	1.33760084853234
ADAMTSL3	0.749040114687499	4.57681187089844	4.44909988882708	9.45728130973863e-05	0.00428116192342431	1.32940300109223
SLIT2	0.553243282864583	5.09689143017578	4.4460025211507	9.542320893087e-05	0.00429704198960426	1.32100641981664
BCL11A	-0.69657367109375	4.12799757509766	-4.44194499526581	9.65486495512371e-05	0.00432507778536558	1.31000880504152
SYT1	-0.8508041115625	4.68615605683594	-4.41527240548254	0.000104279933960751	0.0046215316611362	1.2377673917744
MTUS1	1.07023733098958	4.01881901572266	4.40997419684618	0.000105886848645024	0.00464659584283599	1.22342848877725
SERPINE1	-0.54060637338542	7.50122671220703	-4.40227601033839	0.000108265279508027	0.00472685111192154	1.20260098960436
HEPH	0.775365316614581	4.65290944970703	4.39166766590397	0.00011162937743832	0.00483320665497694	1.17391302699983
FOXF2	1.24062399583333	5.47482987734375	4.38606560175714	0.000113447271444689	0.00487879990847885	1.15876959554698
LMO4	0.573033636848956	6.07991300415039	4.38312838323886	0.000114412044569762	0.00489452918973741	1.15083144964063
MDK	0.577755448645828	5.36417720800781	4.37420541717508	0.000117392811472371	0.00494948809546013	1.12672343831236
FBLN2	1.11992465536458	6.44837362783203	4.36754125272808	0.000119668827620279	0.00499640618381049	1.10872541667299
CFB	0.926082304947914	5.32806362783203	4.35018746196575	0.000125801769202098	0.00516433421704402	1.06188690857908
TMEM158	0.693732990364585	5.36400537548828	4.34306003093322	0.000128409450719937	0.00516433421704402	1.04266207706018
OSR2	1.13181973333333	5.273883546875	4.33918652473895	0.000129848894284546	0.00517000652849694	1.03221711520881
ASS1	1.17476947026041	6.79765139599609	4.33767892511944	0.00013041342456552	0.00517000652849694	1.02815243648551
RUNX1T1	0.663497487604166	4.68386286230469	4.33665651240865	0.00013079764865658	0.00517000652849694	1.02539606955325
AUTS2	1.49664586447917	4.26944709707031	4.33601733982809	0.000131038416836685	0.00517000652849694	1.02367297311512
WNT5A	1.35920985473958	5.87926912431641	4.32511506381415	0.000135213038986575	0.00523780654370311	0.994291498693888
INA	-0.737894124010416	5.24772108759766	-4.32478690166509	0.00013534070638208	0.00523780654370311	0.993407375350407
ANGPTL2	0.543908928333332	6.12372501484375	4.32213653012072	0.000136376161039327	0.00523780654370311	0.986267413106643
FBLN5	0.634636279479164	6.25743585957031	4.32169753645177	0.000136548419843333	0.00523780654370311	0.985084886732953
THBD	-0.943565497812501	5.17848265761719	-4.31895691451007	0.000137628680255424	0.00523780654370311	0.977703057809056
FAM110B	0.691047606250001	4.94087817890625	4.30498027481509	0.000143270053137929	0.00542848337902787	0.940074474731502
SIK1	-1.19435996869792	5.48362724482422	-4.27603699026965	0.000155685955127396	0.00574701673841516	0.862245619349269
AIM1	1.0783526765625	4.01847651972656	4.25930959794754	0.000163338160354343	0.00594907939952106	0.817324348688815
LITAF	0.53108303348958	6.60281121337891	4.25602161363363	0.000164885234248527	0.00594907939952106	0.808499661072002
MFAP5	0.982460330104167	6.77873551542969	4.24528147102019	0.000170039826833764	0.00609380229415501	0.779685937180091
WWP2	-0.513072374843751	5.34364533369141	-4.23366536015453	0.000175793249871577	0.00624792455431999	0.748542972247567
CCNG1	0.574333131562499	6.11251258222656	4.2176717310975	0.00018402908971927	0.00651372099043391	0.705699699683604
KDM5D	-1.0929202740625	4.28877974121094	-4.21611964987886	0.000184848228791757	0.00651590006490942	0.701544265453501
GCH1	0.71420742286458	4.74467140439453	4.20861279324224	0.000188860958450574	0.00659984720629533	0.681451564271579
TNFAIP6	0.877486309739582	5.27095962275391	4.20652169585544	0.000189993898784575	0.00659984720629533	0.6758562446129
CSRP2	-0.714523186927084	5.90780390791016	-4.20094310748668	0.000193049106213475	0.00666496686325955	0.660932739328037
OMD	0.972752710312499	3.86986653769531	4.18673460443144	0.000201050326806857	0.00678130925829716	0.622946697409212
STAC	-0.717862738802084	4.84186860751953	-4.16494350763028	0.000213958310286781	0.00707790548760233	0.56475588178274
SLC2A1	-0.511492994531252	5.34818144404297	-4.14169093294313	0.000228629414054129	0.00731019178542587	0.502753764006437
SERPING1	0.63778959536458	6.42910043955078	4.13165788669239	0.000235260500744946	0.00737553161519449	0.476030725221199
COL4A4	0.990003839739582	4.04660099228516	4.13136447125388	0.000235457239164692	0.00737553161519449	0.475249485177269
CPVL	0.905864433281248	3.56438521767578	4.12955276737815	0.000236675587233308	0.00737553161519449	0.470426035719747
CRIP2	-0.545919831093751	6.81085348212891	-4.12150384294887	0.000242163574675065	0.00749226225100803	0.44900391015569
C5	0.630460122760415	4.58548722255859	4.11567894491136	0.000246212810515114	0.00753854046514032	0.433508369875241
GJA4	-0.841681240468753	3.96923134423828	-4.09816920071387	0.000258788823566836	0.00786516845052424	0.386966125956712
CXCL6	1.50705046302083	4.30145824746094	4.06465270374567	0.000284641815731175	0.00831075944446332	0.298037149361541
GAL	-0.669879498072919	3.87448031943359	-4.0599670998947	0.000288451986803476	0.00831075944446332	0.285621985696704
DOCK2	-0.509701439739586	4.56369324755859	-4.05940763237199	0.000288910251586389	0.00831075944446332	0.284139882009955
EFNB2	1.139932616875	4.55986125585938	4.05722455566529	0.00029070525873599	0.00833451976796083	0.278357202781175
EYA2	0.715384997239582	4.40783256884766	4.05227565376315	0.000294814972887871	0.00842145346510879	0.265251652297358
MAP3K8	0.607916879687499	3.96313155136719	4.04603905069625	0.000300075131238635	0.00846875472753103	0.248742856208126
PLXND1	-0.575573017239584	6.61696180537109	-4.04539944195308	0.000300619766080518	0.00846875472753103	0.247050190785317
CCND2	-1.09097261864584	5.31002553339844	-4.0440961958238	0.000301732493380475	0.00846875472753103	0.243601519133354
ARNT2	0.589822046171872	5.92330974487305	4.02783300499721	0.000315961934436849	0.00865474075825266	0.200593824624864
LDB2	0.57002819453125	4.99135401142578	4.01608509654084	0.000326647243551919	0.00887827912888749	0.169559530447084
ALDH5A1	0.507611940468749	5.18694351044922	4.0088395459585	0.000333412877413168	0.00887827912888749	0.150432935139022
PRPS1	0.792392609583334	6.79049629296875	3.99963373331166	0.000342206939048846	0.00902280029669265	0.126147106387524
SFRP1	1.27900250255208	3.97024526982422	3.99374064775751	0.000347955121551713	0.00907083547454757	0.110609690483795
PRKAB2	-0.534573874687504	4.44389295878906	-3.99058228851503	0.000351074576748282	0.00912263575411473	0.10228546346751
PTGIR	-0.724531126354168	5.08114792832031	-3.97991903103371	0.000361809841075989	0.00937327241895957	0.0741964741187937
CX3CL1	0.588902429791665	5.64889404804688	3.97156964464922	0.000370439016814398	0.00953935923239713	0.0522192179126959
MMP2	0.51525973895833	4.73143739492188	3.96914201377728	0.000372985526691149	0.00957149257454116	0.0458319563141574
CRIP1	-1.46371090802084	5.27363418691406	-3.96419480483485	0.000378228068788893	0.00962467343092683	0.0328193655117781
EPB41L3	1.250940038125	4.50727420585937	3.95936329021491	0.000383417487112174	0.00970926421759775	0.0201160905785391
COL8A1	-0.649209812916665	6.63080459140625	-3.95345160604087	0.000389861797664091	0.00983343496102302	0.00457953832445934
EREG	-1.32919599026042	2.94377567744141	-3.95187662397294	0.000391596458028686	0.00984830741375652	0.000441573375167259
PDE3A	-1.016742608125	3.47601867539063	-3.93341939280144	0.000412495410341514	0.0102074119128742	-0.0480114577980082
MLN	-0.538690561406251	4.56553541474609	-3.93298850510968	0.000412996087161985	0.0102074119128742	-0.0491417213616412
SVIL	0.654144534895832	6.11055236269531	3.91253295159986	0.000437459813033272	0.0105988502870399	-0.102751934599815
EFEMP1	0.614397140468749	6.72440706357422	3.89688743539418	0.000457120167867845	0.0109517843003658	-0.143693325323349
SLC39A8	1.20455622635417	4.76795680058594	3.89150030020535	0.000464087203458586	0.0110571025954219	-0.157777737515492
QPCT	-0.510394790156251	5.40916964755859	-3.87778484219525	0.000482295907565516	0.0114276228676887	-0.193606461378874
PRKAR2B	0.541685798906248	3.86689399541016	3.87188784857503	0.000490337268328084	0.0114422563900603	-0.208997901031851
TGFBR3	0.968061873541665	5.33489753632812	3.86731801262894	0.000496658631851283	0.011514180303377	-0.220919895168405
PCDHB17	-0.511336130104168	4.06031482988281	-3.85363671923642	0.000516062366405396	0.0118364064358742	-0.256583360322733
STAT4	-0.881547852187502	5.18125051425781	-3.85222510925145	0.000518105960041125	0.0118516738359407	-0.260260568548037
RHOB	-0.513551107343753	6.23865759619141	-3.84360271582404	0.000530760917791906	0.0120450518573303	-0.282711542720158
VWA5A	1.12187019583333	4.7632268734375	3.83413588803471	0.000545002135308503	0.0123033159207045	-0.30734106713903
PTGER1	-0.590083965833336	5.340836596875	-3.79770472346772	0.000603360251072789	0.0132723824027546	-0.401922616807045
MSLN	-0.514260273802086	4.36549716689453	-3.76967686035307	0.000652353720369139	0.0141027305610477	-0.474466954881558
OPCML	-0.763600256614585	3.89076681435547	-3.76954926697766	0.00065258536952645	0.0141027305610477	-0.474796757043355
ZFP36L2	0.607691761718749	6.15176427998047	3.75287306425173	0.000683559835483255	0.0146616926997558	-0.517865955393908
MAF	0.533058913177081	5.62641258193359	3.74666618569834	0.000695449633325446	0.0147882946092678	-0.533878298945439
GSAP	1.05169841515625	3.96668713603516	3.73664260570602	0.000715076190782388	0.01498513402869	-0.559716065475279
CYP7B1	0.575516576770832	2.93682003183594	3.73569587780083	0.000716957493080336	0.01498513402869	-0.56215511023747
SYNJ1	0.778889200833332	5.23941585859375	3.73420089650957	0.000719938059487506	0.0149931894664698	-0.566006143676653
CNR1	1.47084692359375	4.06530238037109	3.73129256065481	0.00072577097627352	0.015005663862809	-0.573496289058243
OSGIN2	0.53147988265625	4.94635508291016	3.70917504722314	0.000771656402137232	0.0155433646716214	-0.630385902807664
ALDH1B1	0.970711598125	4.78052643710937	3.69045372393452	0.00081268624233546	0.0160319136934112	-0.678439432849945
ZNF165	0.830743014010416	2.88162037333984	3.68331143301823	0.00082889072875263	0.0161951623839206	-0.696747519016016
PDE1C	0.554727480885416	4.82835162763672	3.67036008581908	0.000859077850387478	0.0166563428987154	-0.72991114162222
TBC1D8	0.69614834875	4.33600421796875	3.65769040100004	0.000889638592638675	0.0169687016820553	-0.762309470287718
BMP4	0.759474239999996	5.76362175546875	3.6316198060196	0.000955873907627423	0.0179900907647778	-0.82883704456887
NIPAL3	-0.582116724427086	5.37384846572266	-3.62975237998994	0.00096079744083567	0.0180432724642524	-0.833595134984522
TKT	0.571462295729165	6.89133070957031	3.62889864016627	0.000963056528143005	0.0180462945502353	-0.835770087929236
PTPRZ1	-1.02446514807292	2.93438053740234	-3.60789489621931	0.00102028271564821	0.0187109843012586	-0.889213694368566
CLIC2	0.765037366510415	3.48208181943359	3.60475732085698	0.00102910899385828	0.0188326945876064	-0.897186452686287
FMOD	0.648513730312501	5.90306608691406	3.59540900935059	0.00105584687749806	0.0192401249859339	-0.920924356620756
HIST1H4L	-0.513776110052084	3.02453284033203	-3.59238475458816	0.00106463979494983	0.0193593380049967	-0.928598390263556
WASL	0.57890987515625	4.01107819384766	3.58814505780029	0.00107708592205757	0.0194622185202041	-0.939352163586724
ZG16	-0.529474498072918	3.86829606162109	-3.58352233600529	0.00109081683801056	0.0195868802165529	-0.951071537059416
ACP5	-0.603079782656252	4.11340837724609	-3.5744547475296	0.00111824374014128	0.0198808210335497	-0.974041363323102
ADRB2	-0.50787146078125	4.35441334013672	-3.57193074059861	0.00112599602398377	0.0199273493874164	-0.98043085895923
SLC16A2	0.663124617135417	4.94315913857422	3.55764794272455	0.0011708529104652	0.0204269896205095	-1.01655237543303
IGF1R	-0.606191099166668	4.90503065546875	-3.55495457942802	0.00117950312880483	0.0205362477952437	-1.023357209103
CRLF1	0.84862306453125	5.25099438642578	3.54003378496257	0.00122855382223462	0.0211759347195189	-1.06101581793046
PLAT	-0.575948018697919	6.13456760810547	-3.53921776610437	0.00123129247304247	0.0211806931212765	-1.06307345148353
PNMA2	0.730491347291665	6.27205314570312	3.53334452281922	0.00125117839127135	0.0214370225962647	-1.07787723978924
NPR3	0.729805329687498	5.12032008183594	3.52677703800939	0.00127378217902417	0.0217376994479898	-1.09441859347894
TLR1	0.685619576249999	4.11279530703125	3.49776820363448	0.00137842713458541	0.0227703550431592	-1.16732541085487
BAMBI	0.58146217515625	5.73616317978516	3.48516477215505	0.00142643296812891	0.0232803604532765	-1.19892043430215
SBSPON	1.11677945552083	5.77793683730469	3.47573018288148	0.00146341959252926	0.0236471446941525	-1.22253922703338
MYOZ2	-1.15384561421875	3.96281696376953	-3.4752308588464	0.00146540264178389	0.0236471446941525	-1.22378847073703
LIMCH1	1.06630940552083	4.60868210527344	3.46891537941057	0.00149070895155904	0.0239655844716996	-1.23958221078861
PHLPP1	0.574093245937499	4.99546626308594	3.45803164033073	0.00153531164704172	0.0244541027337146	-1.26677069076734
KIAA1462	0.863727575781247	5.38991140986328	3.457216013748	0.00153870545530087	0.0244628569705041	-1.26880668032288
PTGES	1.090860975625	6.23254576289063	3.44896187534256	0.00157345981053622	0.0248774408647464	-1.28939896146925
CTH	0.775580954010417	4.28088703193359	3.43685617634192	0.00162580167267073	0.0254150688324099	-1.31956058732054
ACAN	-1.17203489734375	4.62276684931641	-3.42674645373866	0.00167079387161784	0.0257535808060664	-1.34471297596069
RHOBTB3	0.83908302828125	5.47637235048828	3.41174242512387	0.00173978249237597	0.0262985399242983	-1.38198081586308
BIRC3	0.509253341770832	4.24738419121094	3.40742773356563	0.00176012335982263	0.0264669972467339	-1.39268423535867
SLIT3	-1.1692606115625	3.68020457792969	-3.39689654633028	0.00181073542040601	0.0269915690657055	-1.41878308208383
SPINK1	-0.621134307552083	4.37419390673828	-3.38818308676835	0.00185366629804843	0.0273342503671484	-1.44034935433228
OLFM4	0.507074185520833	2.74637390136719	3.38636396217206	0.00186275164446685	0.0273872254599306	-1.44484859159347
LPHN3	-1.16982378088542	4.38302356611328	-3.38340613557853	0.00187761546760708	0.0275117046625017	-1.45216181698965
CHST15	0.866355315572916	5.74368893994141	3.37796857468417	0.00190523834540233	0.0278689711034106	-1.46559853796679
LCN2	-0.633465256510417	3.45637619931641	-3.37482323774376	0.00192139444414074	0.0280575782921128	-1.47336642546319
PDK1	-0.654595795781252	4.62767430185547	-3.36780868882355	0.00195790005990037	0.0283023502776522	-1.49067790818716
CD14	0.86772547046875	5.45410178232422	3.36520694292005	0.00197160881770774	0.0284050375897894	-1.4970946307371
PRKG1	-0.903075784218752	4.08849433564453	-3.35290953412604	0.00203766119661638	0.0292098732534958	-1.52739277871085
DUSP5	0.61390282255208	5.66725814091797	3.34478686474762	0.00208244899188943	0.0297033893519751	-1.54737695130395
IGSF3	1.31811958216146	4.06778077973633	3.34134981035158	0.00210168366347492	0.0298332789585003	-1.55582630221126
ALDH3A2	0.540471029062497	5.69030083144531	3.34006841259667	0.00210889822192399	0.0298332789585003	-1.55897533626978
SP4	0.511106174427084	3.10761446396484	3.33529108241279	0.0021360055874866	0.0301006092617178	-1.5707106277142
UNC13A	-0.854931750625001	3.56974154960937	-3.33281789568235	0.00215016980731098	0.0302183178311793	-1.57678279710571
KIAA0895	0.652935270520833	3.78748323652344	3.3321703296962	0.0021538933424813	0.0302212669472784	-1.57837235149984
PLA2G16	0.642530289687501	5.74391695371094	3.32817314251446	0.00217701458431254	0.0302818815602014	-1.58818086719869
HTR2B	0.953912386770831	4.60042546152344	3.32716928165632	0.00218285857078535	0.0302818815602014	-1.59064332380207
CO9	1.44334929276042	4.60398815380859	3.32436125713983	0.00219928549067907	0.0303141899123889	-1.59752950641496
