ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0043410	positive regulation of MAPK cascade	12/47	495/18614	2.45672988865738e-09	4.94696063943281e-07	2.44262426250241e-07	PDGFA/TEK/INHBA/FGFR2/WNT5A/CX3CL1/BMP4/ADRB2/IGF1R/ACKR3/NTF3/FGFR3	12
BP	GO:0060688	regulation of morphogenesis of a branching structure	6/47	51/18614	3.07681269342336e-09	5.67928342994395e-07	2.80421788462006e-07	FGF7/PDGFA/FGFR2/MDK/WNT5A/BMP4	6
BP	GO:0050679	positive regulation of epithelial cell proliferation	9/47	225/18614	4.29317496250361e-09	7.31490964765038e-07	3.61182897655162e-07	FGF7/TEK/PTN/FGFR2/MDK/WNT5A/BMP4/HMOX1/VEGFC	9
BP	GO:0048661	positive regulation of smooth muscle cell proliferation	7/47	99/18614	5.13045671977862e-09	8.11711545307831e-07	4.00792821943608e-07	FGFR2/CX3CL1/EREG/BMP4/IGF1R/HMOX1/HBEGF	7
BP	GO:0050678	regulation of epithelial cell proliferation	11/47	419/18614	5.54520098205911e-09	8.18841345017396e-07	4.04313250551538e-07	FGF7/TEK/PTN/FGFR2/MDK/WNT5A/EREG/TGFBR3/BMP4/HMOX1/VEGFC	11
BP	GO:0001503	ossification	11/47	429/18614	7.08135511327985e-09	9.21261505186731e-07	4.54884497511709e-07	BMP1/IFITM1/PTN/FGFR2/MDK/WNT5A/BMP4/ADRB2/VEGFC/PENK/FGFR3	11
BP	GO:0033674	positive regulation of kinase activity	11/47	430/18614	7.25417191208648e-09	9.21261505186731e-07	4.54884497511709e-07	PDGFA/TEK/FGFR2/WNT5A/EREG/ADRB2/IGF1R/NTF3/VEGFC/HBEGF/FGFR3	11
BP	GO:0030595	leukocyte chemotaxis	9/47	241/18614	7.81894809259947e-09	9.21261505186731e-07	4.54884497511709e-07	PTN/CXCL1/SLIT2/MDK/WNT5A/C5/CX3CL1/MSTN/VEGFC	9
BP	GO:0003205	cardiac chamber development	8/47	166/18614	7.90246889324961e-09	9.21261505186731e-07	4.54884497511709e-07	TEK/FGFR2/SLIT2/WNT5A/PLXND1/TGFBR3/BMP4/IGF1R	8
BP	GO:0050918	positive chemotaxis	6/47	64/18614	1.24978867016631e-08	1.38414095220918e-06	6.83437067527785e-07	FGF7/WNT5A/CX3CL1/BMP4/NTF3/VEGFC	6
BP	GO:0001938	positive regulation of endothelial cell proliferation	7/47	115/18614	1.46505310099984e-08	1.54528219938793e-06	7.63002592450545e-07	FGF7/TEK/MDK/WNT5A/BMP4/HMOX1/VEGFC	7
BP	GO:0051302	regulation of cell division	8/47	187/18614	2.00918956907432e-08	1.93310434700349e-06	9.54494673416478e-07	FGF7/PDGFA/PTN/FGFR2/MDK/EREG/IGF1R/VEGFC	8
BP	GO:0002237	response to molecule of bacterial origin	10/47	366/18614	2.07156708759049e-08	1.93310434700349e-06	9.54494673416478e-07	FGFR2/CXCL1/WNT5A/CX3CL1/PTGER1/TLR1/CD14/TNFSF4/VCAM1/PENK	10
BP	GO:0061138	morphogenesis of a branching epithelium	8/47	188/18614	2.0945600148119e-08	1.93310434700349e-06	9.54494673416478e-07	FGF7/PDGFA/FGFR2/SLIT2/MDK/WNT5A/PLXND1/BMP4	8
BP	GO:0018108	peptidyl-tyrosine phosphorylation	10/47	370/18614	2.29567996743284e-08	1.97581358016295e-06	9.7558289641882e-07	FGF7/PDGFA/TEK/FGFR2/EREG/IGF1R/CRLF1/NTF3/HBEGF/FGFR3	10
BP	GO:0010631	epithelial cell migration	10/47	371/18614	2.35495508177511e-08	1.97581358016295e-06	9.7558289641882e-07	FGF7/TEK/PTN/SLIT2/WNT5A/PLXND1/BMP4/HMOX1/VEGFC/HBEGF	10
BP	GO:0018212	peptidyl-tyrosine modification	10/47	372/18614	2.41558067758623e-08	1.97581358016295e-06	9.7558289641882e-07	FGF7/PDGFA/TEK/FGFR2/EREG/IGF1R/CRLF1/NTF3/HBEGF/FGFR3	10
BP	GO:0090132	epithelium migration	10/47	374/18614	2.54099022541819e-08	1.97581358016295e-06	9.7558289641882e-07	FGF7/TEK/PTN/SLIT2/WNT5A/PLXND1/BMP4/HMOX1/VEGFC/HBEGF	10
BP	GO:0050673	epithelial cell proliferation	11/47	488/18614	2.66868968971305e-08	1.97581358016295e-06	9.7558289641882e-07	FGF7/TEK/PTN/FGFR2/MDK/WNT5A/EREG/TGFBR3/BMP4/HMOX1/VEGFC	11
BP	GO:0001819	positive regulation of cytokine production	11/47	489/18614	2.72517517529546e-08	1.97581358016295e-06	9.7558289641882e-07	IL1R1/MDK/WNT5A/C5/CX3CL1/EREG/TLR1/CD14/CD40LG/TNFSF4/HMOX1	11
BP	GO:0002688	regulation of leukocyte chemotaxis	7/47	126/18614	2.76524699706778e-08	1.97581358016295e-06	9.7558289641882e-07	PTN/SLIT2/MDK/WNT5A/C5/MSTN/VEGFC	7
BP	GO:0090130	tissue migration	10/47	379/18614	2.88006554444262e-08	1.99354536904388e-06	9.84338191011803e-07	FGF7/TEK/PTN/SLIT2/WNT5A/PLXND1/BMP4/HMOX1/VEGFC/HBEGF	10
BP	GO:0001763	morphogenesis of a branching structure	8/47	203/18614	3.80627181625009e-08	2.55481577969514e-06	1.26147254133456e-06	FGF7/PDGFA/FGFR2/SLIT2/MDK/WNT5A/PLXND1/BMP4	8
BP	GO:0010632	regulation of epithelial cell migration	9/47	295/18614	4.4879639590423e-08	2.92377652037609e-06	1.44365156453404e-06	FGF7/TEK/PTN/SLIT2/WNT5A/BMP4/HMOX1/VEGFC/HBEGF	9
BP	GO:0003151	outflow tract morphogenesis	6/47	82/18614	5.64167536715932e-08	3.47284589087232e-06	1.71476149726332e-06	ELN/FGFR2/WNT5A/PLXND1/TGFBR3/BMP4	6
BP	GO:0048511	rhythmic process	9/47	303/18614	5.64435449532296e-08	3.47284589087232e-06	1.71476149726332e-06	NAMPT/PTN/INHBA/SLIT2/MDK/EREG/IGF1R/MSTN/PTGDS	9
BP	GO:0050921	positive regulation of chemotaxis	7/47	143/18614	6.62911320894683e-08	3.96850966427492e-06	1.95950174227475e-06	PTN/SLIT2/MDK/WNT5A/MSTN/NTF3/VEGFC	7
BP	GO:0010463	mesenchymal cell proliferation	5/47	43/18614	7.38592961004542e-08	4.19482925288477e-06	2.07124989604243e-06	FGF7/PDGFA/FGFR2/WNT5A/BMP4	5
BP	GO:0060412	ventricular septum morphogenesis	5/47	43/18614	7.38592961004542e-08	4.19482925288477e-06	2.07124989604243e-06	FGFR2/SLIT2/WNT5A/TGFBR3/BMP4	5
BP	GO:0070374	positive regulation of ERK1 and ERK2 cascade	8/47	222/18614	7.60574440870737e-08	4.2116809663217e-06	2.07957064227551e-06	PDGFA/TEK/INHBA/FGFR2/CX3CL1/BMP4/ACKR3/FGFR3	8
BP	GO:0002687	positive regulation of leukocyte migration	7/47	147/18614	8.01374043655309e-08	4.32937440657685e-06	2.13768326407668e-06	PTN/IL1R1/MDK/WNT5A/CX3CL1/MSTN/VEGFC	7
BP	GO:0050866	negative regulation of cell activation	8/47	225/18614	8.43495547258631e-08	4.4484348504235e-06	2.19647086115719e-06	PDGFA/INHBA/MDK/GAL/CX3CL1/BMP4/TNFSF4/HMOX1	8
BP	GO:0050920	regulation of chemotaxis	8/47	230/18614	9.99023489416158e-08	5.14613262571347e-06	2.54096794492874e-06	PTN/SLIT2/MDK/WNT5A/C5/MSTN/NTF3/VEGFC	8
BP	GO:0001942	hair follicle development	6/47	91/18614	1.05581603585856e-07	5.31507390778796e-06	2.62438483554316e-06	FGF7/PDGFA/INHBA/FGFR2/WNT5A/GAL	6
BP	GO:0048732	gland development	10/47	441/18614	1.18954523506895e-07	5.85520599039494e-06	2.89108186955939e-06	FGF7/PDGFA/PTN/FGFR2/MDK/WNT5A/PLXND1/TGFBR3/BMP4/HMOX1	10
BP	GO:0022404	molting cycle process	6/47	94/18614	1.28239594806221e-07	6.0436319679953e-06	2.98411957455013e-06	FGF7/PDGFA/INHBA/FGFR2/WNT5A/GAL	6
BP	GO:0022405	hair cycle process	6/47	94/18614	1.28239594806221e-07	6.0436319679953e-06	2.98411957455013e-06	FGF7/PDGFA/INHBA/FGFR2/WNT5A/GAL	6
BP	GO:0097529	myeloid leukocyte migration	8/47	241/18614	1.4302012960716e-07	6.59978306416374e-06	3.25872619872455e-06	IL1R1/CXCL1/SLIT2/MDK/C5/CX3CL1/MSTN/VEGFC	8
BP	GO:0032496	response to lipopolysaccharide	9/47	345/18614	1.70422170756699e-07	7.70377771889975e-06	3.80383749551472e-06	FGFR2/CXCL1/WNT5A/CX3CL1/PTGER1/CD14/TNFSF4/VCAM1/PENK	9
BP	GO:0060445	branching involved in salivary gland morphogenesis	4/47	21/18614	2.06875889943143e-07	9.16460192448121e-06	4.5251378873879e-06	FGF7/PDGFA/FGFR2/PLXND1	4
BP	GO:0003007	heart morphogenesis	8/47	262/18614	2.70825903726488e-07	1.16069390680435e-05	5.73107268228449e-06	ELN/TEK/FGFR2/SLIT2/WNT5A/PLXND1/TGFBR3/BMP4	8
BP	GO:0010634	positive regulation of epithelial cell migration	7/47	176/18614	2.74117220185959e-07	1.16069390680435e-05	5.73107268228449e-06	FGF7/TEK/WNT5A/BMP4/HMOX1/VEGFC/HBEGF	7
BP	GO:0003279	cardiac septum development	6/47	107/18614	2.77728113140543e-07	1.16069390680435e-05	5.73107268228449e-06	FGFR2/SLIT2/WNT5A/PLXND1/TGFBR3/BMP4	6
BP	GO:0001667	ameboidal-type cell migration	10/47	496/18614	3.52295369866606e-07	1.44506341528617e-05	7.13518302712288e-06	FGF7/TEK/PTN/SLIT2/WNT5A/PLXND1/BMP4/HMOX1/VEGFC/HBEGF	10
BP	GO:0001936	regulation of endothelial cell proliferation	7/47	185/18614	3.84372654301491e-07	1.49365864785579e-05	7.37512812223914e-06	FGF7/TEK/MDK/WNT5A/BMP4/HMOX1/VEGFC	7
BP	GO:0045766	positive regulation of angiogenesis	7/47	185/18614	3.84372654301491e-07	1.49365864785579e-05	7.37512812223914e-06	TEK/MDK/WNT5A/C5/RLN2/HMOX1/VEGFC	7
BP	GO:1904018	positive regulation of vasculature development	7/47	185/18614	3.84372654301491e-07	1.49365864785579e-05	7.37512812223914e-06	TEK/MDK/WNT5A/C5/RLN2/HMOX1/VEGFC	7
BP	GO:0042303	molting cycle	6/47	115/18614	4.25904902684129e-07	1.59894806685652e-05	7.8950079195149e-06	FGF7/PDGFA/INHBA/FGFR2/WNT5A/GAL	6
BP	GO:0042633	hair cycle	6/47	115/18614	4.25904902684129e-07	1.59894806685652e-05	7.8950079195149e-06	FGF7/PDGFA/INHBA/FGFR2/WNT5A/GAL	6
BP	GO:0043542	endothelial cell migration	8/47	283/18614	4.86367231329405e-07	1.79550569565772e-05	8.86553602370618e-06	TEK/PTN/SLIT2/WNT5A/PLXND1/BMP4/HMOX1/VEGFC	8
BP	GO:0098773	skin epidermis development	6/47	121/18614	5.75185334329088e-07	2.0885828123589e-05	1.03126412833119e-05	FGF7/PDGFA/INHBA/FGFR2/WNT5A/GAL	6
BP	GO:1905330	regulation of morphogenesis of an epithelium	5/47	65/18614	6.08071582237535e-07	2.17238476557442e-05	1.0726424005854e-05	FGF7/PDGFA/MDK/WNT5A/BMP4	5
BP	GO:0001935	endothelial cell proliferation	7/47	201/18614	6.72688937062837e-07	2.36508888189553e-05	1.16779249057358e-05	FGF7/TEK/MDK/WNT5A/BMP4/HMOX1/VEGFC	7
BP	GO:0002695	negative regulation of leukocyte activation	7/47	202/18614	6.95521775996011e-07	2.40715739661119e-05	1.18856435075634e-05	INHBA/MDK/GAL/CX3CL1/BMP4/TNFSF4/HMOX1	7
BP	GO:0003206	cardiac chamber morphogenesis	6/47	126/18614	7.30151411395014e-07	2.45043238824236e-05	1.20993192414581e-05	TEK/FGFR2/SLIT2/WNT5A/TGFBR3/BMP4	6
BP	GO:0045471	response to ethanol	6/47	126/18614	7.30151411395014e-07	2.45043238824236e-05	1.20993192414581e-05	FGFR2/IGF1R/CD14/MSTN/VCAM1/PENK	6
BP	GO:0001822	kidney development	8/47	310/18614	9.66842068225634e-07	3.19635101659669e-05	1.57823866282236e-05	PDGFA/TEK/FGFR2/SLIT2/WNT5A/PLXND1/BMP4/CRLF1	8
BP	GO:0060411	cardiac septum morphogenesis	5/47	72/18614	1.01654397317218e-06	3.31124250084762e-05	1.63496778347662e-05	FGFR2/SLIT2/WNT5A/TGFBR3/BMP4	5
BP	GO:0010464	regulation of mesenchymal cell proliferation	4/47	31/18614	1.06768690949971e-06	3.42742971672734e-05	1.69233668797895e-05	PDGFA/FGFR2/WNT5A/BMP4	4
BP	GO:0070372	regulation of ERK1 and ERK2 cascade	8/47	315/18614	1.09018549442343e-06	3.44965838592557e-05	1.7033123739939e-05	PDGFA/TEK/INHBA/FGFR2/CX3CL1/BMP4/ACKR3/FGFR3	8
BP	GO:0003281	ventricular septum development	5/47	74/18614	1.16597308606647e-06	3.63750758540456e-05	1.7960652875064e-05	FGFR2/SLIT2/WNT5A/TGFBR3/BMP4	5
BP	GO:0007435	salivary gland morphogenesis	4/47	32/18614	1.21796009278893e-06	3.72220480703007e-05	1.83788560983925e-05	FGF7/PDGFA/FGFR2/PLXND1	4
BP	GO:0072001	renal system development	8/47	320/18614	1.22673115536431e-06	3.72220480703007e-05	1.83788560983925e-05	PDGFA/TEK/FGFR2/SLIT2/WNT5A/PLXND1/BMP4/CRLF1	8
BP	GO:0061036	positive regulation of cartilage development	4/47	33/18614	1.38339506218824e-06	4.14083792263101e-05	2.0445909951829e-05	BMP1/MDK/WNT5A/BMP4	4
BP	GO:0007431	salivary gland development	4/47	34/18614	1.56495239543171e-06	4.62182607450832e-05	2.282084966812e-05	FGF7/PDGFA/FGFR2/PLXND1	4
BP	GO:0010594	regulation of endothelial cell migration	7/47	232/18614	1.75634606852126e-06	5.11882439707184e-05	2.527484162318e-05	TEK/PTN/SLIT2/WNT5A/BMP4/HMOX1/VEGFC	7
BP	GO:0060502	epithelial cell proliferation involved in lung morphogenesis	3/47	10/18614	1.788159642192e-06	5.14386182786401e-05	2.53984670982569e-05	FGF7/FGFR2/BMP4	3
BP	GO:0070371	ERK1 and ERK2 cascade	8/47	341/18614	1.97161956403229e-06	5.59889401837375e-05	2.76452459788064e-05	PDGFA/TEK/INHBA/FGFR2/CX3CL1/BMP4/ACKR3/FGFR3	8
BP	GO:0061351	neural precursor cell proliferation	6/47	150/18614	2.02543346327161e-06	5.67890521664129e-05	2.80403113702759e-05	PTN/FGFR2/MDK/WNT5A/CX3CL1/VEGFC	6
BP	GO:0045765	regulation of angiogenesis	8/47	349/18614	2.34255744959169e-06	6.485955938557e-05	3.20252261858654e-05	TEK/MDK/WNT5A/C5/PLXND1/RLN2/HMOX1/VEGFC	8
BP	GO:0043524	negative regulation of neuron apoptotic process	6/47	155/18614	2.45068562495127e-06	6.62977093245389e-05	3.27353308723754e-05	MDK/PLXND1/CX3CL1/CRLF1/HMOX1/NTF3	6
BP	GO:0060601	lateral sprouting from an epithelium	3/47	11/18614	2.45436215106645e-06	6.62977093245389e-05	3.27353308723754e-05	FGFR2/WNT5A/BMP4	3
BP	GO:0097530	granulocyte migration	6/47	156/18614	2.543895189094e-06	6.72223470735376e-05	3.31918824328885e-05	IL1R1/CXCL1/SLIT2/MDK/CX3CL1/MSTN	6
BP	GO:0031346	positive regulation of cell projection organization	8/47	353/18614	2.5492899115924e-06	6.72223470735376e-05	3.31918824328885e-05	PTN/SLIT2/MDK/WNT5A/PLXND1/CX3CL1/IGF1R/MSTN	8
BP	GO:0048754	branching morphogenesis of an epithelial tube	6/47	157/18614	2.63997726434033e-06	6.84679851563668e-05	3.38069319603018e-05	FGFR2/SLIT2/MDK/WNT5A/PLXND1/BMP4	6
BP	GO:1901342	regulation of vasculature development	8/47	355/18614	2.65835066521334e-06	6.84679851563668e-05	3.38069319603018e-05	TEK/MDK/WNT5A/C5/PLXND1/RLN2/HMOX1/VEGFC	8
BP	GO:2000177	regulation of neural precursor cell proliferation	5/47	89/18614	2.92077936807906e-06	7.43623712677601e-05	3.67173595091851e-05	PTN/MDK/WNT5A/CX3CL1/VEGFC	5
BP	GO:0002683	negative regulation of immune system process	9/47	487/18614	3.00268670870095e-06	7.55789893155977e-05	3.73180800279938e-05	INHBA/SLIT2/MDK/C5/GAL/CX3CL1/BMP4/TNFSF4/HMOX1	9
BP	GO:0045926	negative regulation of growth	7/47	252/18614	3.03919745571111e-06	7.56384535325855e-05	3.7347441235764e-05	INHBA/SLIT2/WNT5A/BMP4/ADRB2/MSTN/FGFR3	7
BP	GO:0019221	cytokine-mediated signaling pathway	9/47	492/18614	3.26373432066418e-06	7.99906278389677e-05	3.94963822381787e-05	IFITM1/IL1R1/CXCL1/SLIT2/WNT5A/CX3CL1/EREG/CRLF1/ACKR3	9
BP	GO:0050730	regulation of peptidyl-tyrosine phosphorylation	7/47	255/18614	3.28629667419687e-06	7.99906278389677e-05	3.94963822381787e-05	FGF7/PDGFA/EREG/CRLF1/NTF3/HBEGF/FGFR3	7
BP	GO:0008544	epidermis development	8/47	375/18614	3.98615377812304e-06	9.59709849841579e-05	4.73868853028585e-05	FGF7/PDGFA/INHBA/FGFR2/WNT5A/GAL/EREG/BMP4	8
BP	GO:0002690	positive regulation of leukocyte chemotaxis	5/47	96/18614	4.24486873550539e-06	0.000101100905904779	4.99198485137532e-05	PTN/MDK/WNT5A/MSTN/VEGFC	5
BP	GO:1905521	regulation of macrophage migration	4/47	44/18614	4.49702036757684e-06	0.000105967022491305	5.23225550046175e-05	MDK/C5/CX3CL1/MSTN	4
BP	GO:0071560	cellular response to transforming growth factor beta stimulus	7/47	274/18614	5.27352029263375e-06	0.00012295628892825	6.07112197678278e-05	PDGFA/FGFR2/WNT5A/TGFBR3/IGF1R/MSTN/PENK	7
BP	GO:0035272	exocrine system development	4/47	46/18614	5.38588623819048e-06	0.000124268104349916	6.13589451916657e-05	FGF7/PDGFA/FGFR2/PLXND1	4
BP	GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	6/47	181/18614	6.00034032767603e-06	0.000137018080678375	6.765440695014e-05	FGF7/EREG/CRLF1/NTF3/HBEGF/FGFR3	6
BP	GO:0071559	response to transforming growth factor beta	7/47	280/18614	6.07785338371335e-06	0.000137371890254337	6.78291048945024e-05	PDGFA/FGFR2/WNT5A/TGFBR3/IGF1R/MSTN/PENK	7
BP	GO:0035094	response to nicotine	4/47	48/18614	6.39838505404533e-06	0.000143155786815257	7.06849768331004e-05	IGF1R/HMOX1/VCAM1/PENK	4
BP	GO:0060572	morphogenesis of an epithelial bud	3/47	15/18614	6.72024823994904e-06	0.000148853498514871	7.34982939084952e-05	FGFR2/WNT5A/BMP4	3
BP	GO:0051896	regulation of protein kinase B signaling	6/47	186/18614	7.01552613538843e-06	0.000153855350394905	7.59680214139508e-05	PDGFA/TEK/CX3CL1/IGF1R/MSTN/HBEGF	6
BP	GO:1904035	regulation of epithelial cell apoptotic process	5/47	109/18614	7.91736687501818e-06	0.000170414038980447	8.41440829277342e-05	TEK/MDK/IGF1R/CD40LG/HMOX1	5
BP	GO:0031099	regeneration	6/47	190/18614	7.92444515349258e-06	0.000170414038980447	8.41440829277342e-05	PTN/MDK/TGFBR3/IGF1R/MSTN/HMOX1	6
BP	GO:0045778	positive regulation of ossification	4/47	51/18614	8.17205886505258e-06	0.000172995664552366	8.54187931424062e-05	PTN/WNT5A/BMP4/ADRB2	4
BP	GO:0044849	estrous cycle	3/47	16/18614	8.25642228866742e-06	0.000172995664552366	8.54187931424062e-05	PTN/MDK/IGF1R	3
BP	GO:0014812	muscle cell migration	5/47	110/18614	8.27879929686266e-06	0.000172995664552366	8.54187931424062e-05	PDGFA/SLIT2/MDK/BMP4/MSTN	5
BP	GO:0022602	ovulation cycle process	4/47	52/18614	8.83672487089963e-06	0.000182928463448997	9.0323237981945e-05	INHBA/SLIT2/EREG/MSTN	4
BP	GO:0048608	reproductive structure development	7/47	301/18614	9.74243873676883e-06	0.000199810201869842	9.8658809429852e-05	PDGFA/INHBA/FGFR2/SLIT2/WNT5A/EREG/BMP4	7
BP	GO:0061458	reproductive system development	7/47	305/18614	1.06149558505568e-05	0.00021570758907324	0.000106508345038421	PDGFA/INHBA/FGFR2/SLIT2/WNT5A/EREG/BMP4	7
BP	GO:0048640	negative regulation of developmental growth	5/47	116/18614	1.07273215202832e-05	0.000216009246976611	0.000106657292436117	WNT5A/BMP4/ADRB2/MSTN/FGFR3	5
BP	GO:0010720	positive regulation of cell development	8/47	432/18614	1.12180408921233e-05	0.000223697344556952	0.000110453387665284	PTN/SLIT2/MDK/PLXND1/CX3CL1/BMP4/TNFSF4/VEGFC	8
BP	GO:0043588	skin development	7/47	308/18614	1.13111072642793e-05	0.000223697344556952	0.000110453387665284	FGF7/PDGFA/INHBA/FGFR2/WNT5A/GAL/EREG	7
BP	GO:0032609	type II interferon production	5/47	118/18614	1.16581390789657e-05	0.000224545896173121	0.000110872370737257	INHBA/IL1R1/WNT5A/CD14/TNFSF4	5
BP	GO:0032649	regulation of type II interferon production	5/47	118/18614	1.16581390789657e-05	0.000224545896173121	0.000110872370737257	INHBA/IL1R1/WNT5A/CD14/TNFSF4	5
BP	GO:0051897	positive regulation of protein kinase B signaling	5/47	118/18614	1.16581390789657e-05	0.000224545896173121	0.000110872370737257	PDGFA/TEK/CX3CL1/IGF1R/HBEGF	5
BP	GO:0060602	branch elongation of an epithelium	3/47	18/18614	1.19882035626902e-05	0.000228912680097921	0.000113028525423186	FGFR2/WNT5A/BMP4	3
BP	GO:0030278	regulation of ossification	5/47	119/18614	1.21465969689981e-05	0.000229954805866075	0.00011354308817624	PTN/MDK/WNT5A/BMP4/ADRB2	5
BP	GO:0042060	wound healing	8/47	439/18614	1.26035221170549e-05	0.000236583063468445	0.000116815874037645	PDGFA/FGFR2/WNT5A/CX3CL1/EREG/CD40LG/HMOX1/HBEGF	8
BP	GO:0031349	positive regulation of defense response	8/47	441/18614	1.30249356881936e-05	0.000242438928986124	0.000119707281557126	MDK/WNT5A/CX3CL1/EREG/TLR1/CD14/TNFSF4/PENK	8
BP	GO:0030282	bone mineralization	5/47	121/18614	1.31714016937507e-05	0.000243122122930482	0.00012004461719129	PTN/FGFR2/BMP4/ADRB2/FGFR3	5
BP	GO:0043616	keratinocyte proliferation	4/47	58/18614	1.36959551568147e-05	0.000250715212168136	0.000123793800851939	FGF7/FGFR2/MDK/EREG	4
BP	GO:0002523	leukocyte migration involved in inflammatory response	3/47	19/18614	1.42107780067068e-05	0.000258007158072586	0.000127394291190409	PTN/MDK/CX3CL1	3
BP	GO:0022409	positive regulation of cell-cell adhesion	7/47	321/18614	1.47815512512913e-05	0.000266188097736668	0.000131433733419697	MDK/WNT5A/MAP3K8/CX3CL1/CD40LG/TNFSF4/VCAM1	7
BP	GO:0045620	negative regulation of lymphocyte differentiation	4/47	60/18614	1.5683419929333e-05	0.000280151412447359	0.000138328296320687	INHBA/MDK/BMP4/TNFSF4	4
BP	GO:0043491	protein kinase B signaling	6/47	215/18614	1.60173853113454e-05	0.000281797766371157	0.00013914120435292	PDGFA/TEK/CX3CL1/IGF1R/MSTN/HBEGF	6
BP	GO:0003231	cardiac ventricle development	5/47	126/18614	1.60300309538446e-05	0.000281797766371157	0.00013914120435292	FGFR2/SLIT2/WNT5A/TGFBR3/BMP4	5
BP	GO:1901214	regulation of neuron death	7/47	327/18614	1.66577749994507e-05	0.000289906199990545	0.000143144845807379	MDK/WNT5A/PLXND1/CX3CL1/CRLF1/HMOX1/NTF3	7
BP	GO:1905517	macrophage migration	4/47	61/18614	1.67530445141263e-05	0.000289906199990545	0.000143144845807379	MDK/C5/CX3CL1/MSTN	4
BP	GO:0048638	regulation of developmental growth	7/47	328/18614	1.69888515533172e-05	0.000291707799927113	0.000144034408518128	FGFR2/WNT5A/TGFBR3/BMP4/ADRB2/MSTN/FGFR3	7
BP	GO:1990266	neutrophil migration	5/47	128/18614	1.7300148284529e-05	0.000294767911155629	0.000145545377065795	IL1R1/CXCL1/SLIT2/MDK/CX3CL1	5
BP	GO:0043523	regulation of neuron apoptotic process	6/47	219/18614	1.77787323611008e-05	0.000297699118142846	0.000146992697517128	MDK/PLXND1/CX3CL1/CRLF1/HMOX1/NTF3	6
BP	GO:1901215	negative regulation of neuron death	6/47	219/18614	1.77787323611008e-05	0.000297699118142846	0.000146992697517128	MDK/PLXND1/CX3CL1/CRLF1/HMOX1/NTF3	6
BP	GO:1904036	negative regulation of epithelial cell apoptotic process	4/47	62/18614	1.78753872293447e-05	0.000297699118142846	0.000146992697517128	TEK/MDK/IGF1R/HMOX1	4
BP	GO:0010595	positive regulation of endothelial cell migration	5/47	131/18614	1.93509408399382e-05	0.000317498770077504	0.000156769025596068	TEK/WNT5A/BMP4/HMOX1/VEGFC	5
BP	GO:0071621	granulocyte chemotaxis	5/47	131/18614	1.93509408399382e-05	0.000317498770077504	0.000156769025596068	CXCL1/SLIT2/MDK/CX3CL1/MSTN	5
BP	GO:0046777	protein autophosphorylation	6/47	227/18614	2.17711610279122e-05	0.000354581777035481	0.000175079228390099	PDGFA/TEK/FGFR2/IGF1R/VEGFC/FGFR3	6
